Riding ID,Riding Name,Province ID,Province,Candidate,Party ID,Party,Votes
10001,Avalon,NL,Newfoundland and Labrador,Matthew Chapman,CPC,Conservative,12738
10001,Avalon,NL,Newfoundland and Labrador,Carolyn Davis,NDP,New Democratic Party,5151
10001,Avalon,NL,Newfoundland and Labrador,Ken McDonald,LPC,Liberal,18608
10001,Avalon,NL,Newfoundland and Labrador,Lainie Stewart,PPC,People's Party,647
10002,Bonavista--Burin--Trinity,NL,Newfoundland and Labrador,Anne Marie Anonsen,NDP,New Democratic Party,2484
10002,Bonavista--Burin--Trinity,NL,Newfoundland and Labrador,Linda Hogan,PPC,People's Party,1257
10002,Bonavista--Burin--Trinity,NL,Newfoundland and Labrador,Churence Rogers,LPC,Liberal,13972
10002,Bonavista--Burin--Trinity,NL,Newfoundland and Labrador,Sharon Vokey,CPC,Conservative,12249
10003,Coast of Bays--Central--Notre Dame,NL,Newfoundland and Labrador,Jamie Ruby,NDP,New Democratic Party,2261
10003,Coast of Bays--Central--Notre Dame,NL,Newfoundland and Labrador,Scott Simms,LPC,Liberal,14646
10003,Coast of Bays--Central--Notre Dame,NL,Newfoundland and Labrador,Clifford Small,CPC,Conservative,14927
10004,Labrador,NL,Newfoundland and Labrador,Shannon Champion,PPC,People's Party,293
10004,Labrador,NL,Newfoundland and Labrador,Shane Dumaresque,CPC,Conservative,2754
10004,Labrador,NL,Newfoundland and Labrador,Yvonne Jones,LPC,Liberal,3797
10004,Labrador,NL,Newfoundland and Labrador,Amy Norman,NDP,New Democratic Party,2193
10005,Long Range Mountains,NL,Newfoundland and Labrador,Carol Anstey,CPC,Conservative,14344
10005,Long Range Mountains,NL,Newfoundland and Labrador,Gudie Hutchings,LPC,Liberal,16178
10005,Long Range Mountains,NL,Newfoundland and Labrador,Kaila Mintz,NDP,New Democratic Party,4347
10005,Long Range Mountains,NL,Newfoundland and Labrador,Darrell Shelley,PPC,People's Party,1578
10006,St. John's East,NL,Newfoundland and Labrador,Glenn Etchegary,CPC,Conservative,7119
10006,St. John's East,NL,Newfoundland and Labrador,Dana Metcalfe,PPC,People's Party,723
10006,St. John's East,NL,Newfoundland and Labrador,Mary Shortall,NDP,New Democratic Party,13090
10006,St. John's East,NL,Newfoundland and Labrador,Joanne Thompson,LPC,Liberal,17239
10007,St. John's South--Mount Pearl,NL,Newfoundland and Labrador,Ray Critch,NDP,New Democratic Party,8123
10007,St. John's South--Mount Pearl,NL,Newfoundland and Labrador,Steve Hodder,CPC,Conservative,6528
10007,St. John's South--Mount Pearl,NL,Newfoundland and Labrador,Seamus O'Regan,LPC,Liberal,19576
10007,St. John's South--Mount Pearl,NL,Newfoundland and Labrador,Georgia Faith Stewart,PPC,People's Party,636
11001,Cardigan,PEI,Prince Edward Island,Kevin Hardy,PPC,People's Party,725
11001,Cardigan,PEI,Prince Edward Island,Lawrence MacAulay,LPC,Liberal,11175
11001,Cardigan,PEI,Prince Edward Island,Michael MacLean,GRE,Green,1064
11001,Cardigan,PEI,Prince Edward Island,Fred MacLeod,CHP,Christian Heritage Party,145
11001,Cardigan,PEI,Prince Edward Island,Wayne Phelan,CPC,Conservative,6817
11001,Cardigan,PEI,Prince Edward Island,Lynne Thiele,NDP,New Democratic Party,2168
